name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,32.012243032455444
Benjamin White,Arsenal,DEF,6.1,174,5.0,32.012243032455444
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,32.012243032455444
Pedro Porro,Spurs,DEF,5.8,112,3.5,32.012243032455444
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,32.012243032455444
Mohamed Salah,Liverpool,MID,13.4,203,6.8,32.012243032455444
Phil Foden,Man City,MID,8.4,204,6.4,32.012243032455444
Michael Olise,Crystal Palace,MID,5.6,107,6.3,32.012243032455444
Kevin De Bruyne,Man City,MID,10.5,84,5.6,32.012243032455444
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,32.012243032455444
Chris Wood,Nott'm Forest,FWD,4.8,116,4.0,32.012243032455444
