name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,33.76998257637024
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,33.76998257637024
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,33.76998257637024
Joško Gvardiol,Man City,DEF,5.1,94,3.8,33.76998257637024
Pedro Porro,Spurs,DEF,5.8,112,3.5,33.76998257637024
Mohamed Salah,Liverpool,MID,13.4,203,6.8,33.76998257637024
Bukayo Saka,Arsenal,MID,9.0,224,6.6,33.76998257637024
Michael Olise,Crystal Palace,MID,5.6,107,6.3,33.76998257637024
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,33.76998257637024
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,33.76998257637024
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,33.76998257637024
