name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,33.831175565719604
William Saliba,Arsenal,DEF,5.9,153,4.2,33.831175565719604
Kyle Walker,Man City,DEF,5.4,108,3.7,33.831175565719604
Manuel Akanji,Man City,DEF,5.0,98,3.6,33.831175565719604
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,33.831175565719604
Mohamed Salah,Liverpool,MID,13.4,203,6.8,33.831175565719604
Bukayo Saka,Arsenal,MID,9.0,224,6.6,33.831175565719604
Michael Olise,Crystal Palace,MID,5.6,107,6.3,33.831175565719604
Anthony Gordon,Newcastle,MID,6.4,175,5.3,33.831175565719604
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,33.831175565719604
Alexander Isak,Newcastle,FWD,8.4,154,5.7,33.831175565719604
