name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,33.761547803878784
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,33.761547803878784
William Saliba,Arsenal,DEF,5.9,153,4.2,33.761547803878784
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,33.761547803878784
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,33.761547803878784
Phil Foden,Man City,MID,8.4,204,6.4,33.761547803878784
Son Heung-min,Spurs,MID,9.9,202,6.3,33.761547803878784
Michael Olise,Crystal Palace,MID,5.6,107,6.3,33.761547803878784
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,33.761547803878784
Erling Haaland,Man City,FWD,14.2,200,7.1,33.761547803878784
Alexander Isak,Newcastle,FWD,8.4,154,5.7,33.761547803878784
