name,team,position,value,total_points,points_per_game,elapsed
Nick Pope,Newcastle,GK,5.3,56,4.0,33.8275728225708
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,33.8275728225708
William Saliba,Arsenal,DEF,5.9,153,4.2,33.8275728225708
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,33.8275728225708
Pedro Porro,Spurs,DEF,5.8,112,3.5,33.8275728225708
Anthony Gordon,Newcastle,MID,6.4,175,5.3,33.8275728225708
Martin Ødegaard,Arsenal,MID,8.6,173,5.2,33.8275728225708
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,33.8275728225708
Ben Brereton,Sheffield Utd,MID,5.0,58,4.8,33.8275728225708
Erling Haaland,Man City,FWD,14.2,200,7.1,33.8275728225708
Rasmus Højlund,Man Utd,FWD,7.1,97,3.6,33.8275728225708
