name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,33.42036962509155
Pedro Porro,Spurs,DEF,5.8,112,3.5,33.42036962509155
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,33.42036962509155
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,33.42036962509155
Thiago Emiliano da Silva,Chelsea,DEF,5.0,94,3.4,33.42036962509155
Mohamed Salah,Liverpool,MID,13.4,203,6.8,33.42036962509155
Michael Olise,Crystal Palace,MID,5.6,107,6.3,33.42036962509155
Anthony Gordon,Newcastle,MID,6.4,175,5.3,33.42036962509155
Kai Havertz,Arsenal,MID,7.5,168,4.8,33.42036962509155
Erling Haaland,Man City,FWD,14.2,200,7.1,33.42036962509155
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,33.42036962509155
