name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,0.35410284996032715
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,0.35410284996032715
Pedro Porro,Spurs,DEF,5.8,112,3.5,0.35410284996032715
Marcos Senesi,Bournemouth,DEF,4.4,98,3.4,0.35410284996032715
Thiago Emiliano da Silva,Chelsea,DEF,5.0,94,3.4,0.35410284996032715
Phil Foden,Man City,MID,8.4,204,6.4,0.35410284996032715
Son Heung-min,Spurs,MID,9.9,202,6.3,0.35410284996032715
Kevin De Bruyne,Man City,MID,10.5,84,5.6,0.35410284996032715
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,0.35410284996032715
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,0.35410284996032715
Darwin Núñez Ribeiro,Liverpool,FWD,7.5,130,3.8,0.35410284996032715
