name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,128,4.3,0.3350224494934082
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,0.3350224494934082
Joško Gvardiol,Man City,DEF,5.1,94,3.8,0.3350224494934082
Kyle Walker,Man City,DEF,5.4,108,3.7,0.3350224494934082
Nathan Aké,Man City,DEF,5.0,97,3.6,0.3350224494934082
Bukayo Saka,Arsenal,MID,9.0,224,6.6,0.3350224494934082
Anthony Gordon,Newcastle,MID,6.4,175,5.3,0.3350224494934082
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,0.3350224494934082
Ben Brereton,Sheffield Utd,MID,5.0,58,4.8,0.3350224494934082
Erling Haaland,Man City,FWD,14.2,200,7.1,0.3350224494934082
Chris Wood,Nott'm Forest,FWD,4.8,116,4.0,0.3350224494934082
