name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,0.37369632720947266
Benjamin White,Arsenal,DEF,6.1,174,5.0,0.37369632720947266
Pedro Porro,Spurs,DEF,5.8,112,3.5,0.37369632720947266
Jakub Kiwior,Arsenal,DEF,4.1,66,3.5,0.37369632720947266
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,0.37369632720947266
Mohamed Salah,Liverpool,MID,13.4,203,6.8,0.37369632720947266
Son Heung-min,Spurs,MID,9.9,202,6.3,0.37369632720947266
Jarrod Bowen,West Ham,MID,7.6,180,5.5,0.37369632720947266
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,0.37369632720947266
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,0.37369632720947266
Dominic Solanke,Bournemouth,FWD,7.1,168,4.7,0.37369632720947266
