name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,0.34532713890075684
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,141,4.1,0.34532713890075684
Kyle Walker,Man City,DEF,5.4,108,3.7,0.34532713890075684
Manuel Akanji,Man City,DEF,5.0,98,3.6,0.34532713890075684
Jarrad Branthwaite,Everton,DEF,4.5,117,3.5,0.34532713890075684
Bukayo Saka,Arsenal,MID,9.0,224,6.6,0.34532713890075684
Kevin De Bruyne,Man City,MID,10.5,84,5.6,0.34532713890075684
Anthony Gordon,Newcastle,MID,6.4,175,5.3,0.34532713890075684
Martin Ødegaard,Arsenal,MID,8.6,173,5.2,0.34532713890075684
Julián Álvarez,Man City,FWD,6.4,152,4.5,0.34532713890075684
Nicolas Jackson,Chelsea,FWD,7.0,133,4.2,0.34532713890075684
