name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,2.9966607093811035
Benjamin White,Arsenal,DEF,6.0,167,5.1,2.9966607093811035
Nathan Aké,Man City,DEF,5.0,89,3.6,2.9966607093811035
Kyle Walker,Man City,DEF,5.3,98,3.6,2.9966607093811035
Cristian Romero,Spurs,DEF,5.1,91,3.4,2.9966607093811035
Kevin De Bruyne,Man City,MID,10.4,71,5.5,2.9966607093811035
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,2.9966607093811035
Anthony Gordon,Newcastle,MID,6.2,159,5.1,2.9966607093811035
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,2.9966607093811035
Alexander Isak,Newcastle,FWD,8.2,134,5.4,2.9966607093811035
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,2.9966607093811035
