name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,3.0040183067321777
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,133,4.2,3.0040183067321777
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.0040183067321777
Kyle Walker,Man City,DEF,5.3,98,3.6,3.0040183067321777
Cristian Romero,Spurs,DEF,5.1,91,3.4,3.0040183067321777
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.0040183067321777
Son Heung-min,Spurs,MID,9.9,186,6.4,3.0040183067321777
Michael Olise,Crystal Palace,MID,5.6,89,5.9,3.0040183067321777
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.0040183067321777
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,3.0040183067321777
Alexander Isak,Newcastle,FWD,8.2,134,5.4,3.0040183067321777
