name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,2.994661808013916
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,2.994661808013916
William Saliba,Arsenal,DEF,5.9,146,4.3,2.994661808013916
Pedro Porro,Spurs,DEF,5.8,110,3.8,2.994661808013916
Fabian Schär,Newcastle,DEF,5.7,121,3.7,2.994661808013916
Phil Foden,Man City,MID,8.3,199,6.4,2.994661808013916
Bukayo Saka,Arsenal,MID,9.0,202,6.3,2.994661808013916
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,2.994661808013916
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,2.994661808013916
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,2.994661808013916
David Datro Fofana,Burnley,FWD,5.0,47,3.9,2.994661808013916
