name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,3.0103259086608887
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.0103259086608887
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.0103259086608887
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.0103259086608887
John Stones,Man City,DEF,5.3,52,3.5,3.0103259086608887
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.0103259086608887
Martin Ødegaard,Arsenal,MID,8.6,168,5.4,3.0103259086608887
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,3.0103259086608887
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.0103259086608887
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,3.0103259086608887
Carlton Morris,Luton,FWD,4.8,131,3.9,3.0103259086608887
