name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,3.0000383853912354
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.0000383853912354
Pedro Porro,Spurs,DEF,5.8,110,3.8,3.0000383853912354
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.0000383853912354
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,3.0000383853912354
Son Heung-min,Spurs,MID,9.9,186,6.4,3.0000383853912354
Bukayo Saka,Arsenal,MID,9.0,202,6.3,3.0000383853912354
Kevin De Bruyne,Man City,MID,10.4,71,5.5,3.0000383853912354
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,3.0000383853912354
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,3.0000383853912354
David Datro Fofana,Burnley,FWD,5.0,47,3.9,3.0000383853912354
