name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,3.111325263977051
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,3.111325263977051
Pedro Porro,Spurs,DEF,5.8,110,3.8,3.111325263977051
Fabian Schär,Newcastle,DEF,5.7,121,3.7,3.111325263977051
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,3.111325263977051
Cole Palmer,Chelsea,MID,6.2,207,7.4,3.111325263977051
Mohamed Salah,Liverpool,MID,13.6,189,6.8,3.111325263977051
Michael Olise,Crystal Palace,MID,5.6,89,5.9,3.111325263977051
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,3.111325263977051
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,3.111325263977051
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,86,3.9,3.111325263977051
