name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,2.9949681758880615
Benjamin White,Arsenal,DEF,6.0,167,5.1,2.9949681758880615
William Saliba,Arsenal,DEF,5.9,146,4.3,2.9949681758880615
Pedro Porro,Spurs,DEF,5.8,110,3.8,2.9949681758880615
Fabian Schär,Newcastle,DEF,5.7,121,3.7,2.9949681758880615
Mohamed Salah,Liverpool,MID,13.6,189,6.8,2.9949681758880615
Bukayo Saka,Arsenal,MID,9.0,202,6.3,2.9949681758880615
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,2.9949681758880615
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,142,4.6,2.9949681758880615
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,2.9949681758880615
David Datro Fofana,Burnley,FWD,5.0,47,3.9,2.9949681758880615
