name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.6252951622009277
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.6252951622009277
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.6252951622009277
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.6252951622009277
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.6252951622009277
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.6252951622009277
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.6252951622009277
Bukayo Saka,Arsenal,MID,9.0,214,6.5,3.6252951622009277
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.6252951622009277
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.6252951622009277
David Datro Fofana,Burnley,FWD,5.0,48,3.7,3.6252951622009277
