name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.9525530338287354
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.9525530338287354
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.9525530338287354
Nathan Aké,Man City,DEF,5.0,95,3.7,3.9525530338287354
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.9525530338287354
Son Heung-min,Spurs,MID,9.9,195,6.3,3.9525530338287354
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.9525530338287354
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.9525530338287354
Kai Havertz,Arsenal,MID,7.5,163,4.8,3.9525530338287354
Erling Haaland,Man City,FWD,14.1,179,6.6,3.9525530338287354
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,3.9525530338287354
