name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,4.021425724029541
Benjamin White,Arsenal,DEF,6.1,168,4.9,4.021425724029541
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,4.021425724029541
Manuel Akanji,Man City,DEF,5.0,96,3.7,4.021425724029541
Joško Gvardiol,Man City,DEF,5.0,88,3.7,4.021425724029541
Mohamed Salah,Liverpool,MID,13.5,190,6.6,4.021425724029541
Michael Olise,Crystal Palace,MID,5.6,91,5.7,4.021425724029541
Anthony Gordon,Newcastle,MID,6.3,169,5.3,4.021425724029541
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,4.021425724029541
Erling Haaland,Man City,FWD,14.1,179,6.6,4.021425724029541
Nicolas Jackson,Chelsea,FWD,6.9,117,3.8,4.021425724029541
