name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.589400291442871
Benjamin White,Arsenal,DEF,6.1,168,4.9,3.589400291442871
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.589400291442871
Kyle Walker,Man City,DEF,5.4,106,3.8,3.589400291442871
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.589400291442871
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.589400291442871
Son Heung-min,Spurs,MID,9.9,195,6.3,3.589400291442871
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.589400291442871
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.589400291442871
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,3.589400291442871
Nicolas Jackson,Chelsea,FWD,6.9,117,3.8,3.589400291442871
