name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,3.650200128555298
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.650200128555298
Joško Gvardiol,Man City,DEF,5.0,88,3.7,3.650200128555298
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.650200128555298
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.650200128555298
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.650200128555298
Kevin De Bruyne,Man City,MID,10.5,82,5.9,3.650200128555298
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.650200128555298
Kai Havertz,Arsenal,MID,7.5,163,4.8,3.650200128555298
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,3.650200128555298
David Datro Fofana,Burnley,FWD,5.0,48,3.7,3.650200128555298
