name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.6295034885406494
Benjamin White,Arsenal,DEF,6.1,168,4.9,3.6295034885406494
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.6295034885406494
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.6295034885406494
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.6295034885406494
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.6295034885406494
Son Heung-min,Spurs,MID,9.9,195,6.3,3.6295034885406494
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.6295034885406494
Ben Brereton,Sheffield Utd,MID,5.0,50,4.5,3.6295034885406494
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.6295034885406494
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,3.6295034885406494
