name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.90579891204834
William Saliba,Arsenal,DEF,5.9,147,4.2,3.90579891204834
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.90579891204834
Nathan Aké,Man City,DEF,5.0,95,3.7,3.90579891204834
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.90579891204834
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.90579891204834
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.90579891204834
Bukayo Saka,Arsenal,MID,9.0,214,6.5,3.90579891204834
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.90579891204834
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.90579891204834
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,3.90579891204834
