name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,3.550807476043701
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.550807476043701
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.550807476043701
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.550807476043701
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,3.550807476043701
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.550807476043701
Son Heung-min,Spurs,MID,9.9,195,6.3,3.550807476043701
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.550807476043701
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.550807476043701
Erling Haaland,Man City,FWD,14.1,179,6.6,3.550807476043701
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,3.550807476043701
