name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,3.470562696456909
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.470562696456909
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.470562696456909
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.470562696456909
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,3.470562696456909
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.470562696456909
Kevin De Bruyne,Man City,MID,10.5,82,5.9,3.470562696456909
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.470562696456909
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.470562696456909
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,3.470562696456909
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,3.470562696456909
