name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.554356336593628
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.554356336593628
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.554356336593628
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,3.554356336593628
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,3.554356336593628
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.554356336593628
Kevin De Bruyne,Man City,MID,10.5,82,5.9,3.554356336593628
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.554356336593628
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.554356336593628
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,3.554356336593628
Carlton Morris,Luton,FWD,4.8,138,3.9,3.554356336593628
