name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.7489330768585205
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.7489330768585205
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.7489330768585205
Kyle Walker,Man City,DEF,5.4,106,3.8,3.7489330768585205
John Stones,Man City,DEF,5.3,52,3.5,3.7489330768585205
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.7489330768585205
Kevin De Bruyne,Man City,MID,10.5,82,5.9,3.7489330768585205
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.7489330768585205
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.7489330768585205
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,3.7489330768585205
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,130,4.1,3.7489330768585205
