name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.751513719558716
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.751513719558716
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.751513719558716
Manuel Akanji,Man City,DEF,5.0,96,3.7,3.751513719558716
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.751513719558716
Bukayo Saka,Arsenal,MID,9.0,214,6.5,3.751513719558716
Phil Foden,Man City,MID,8.4,199,6.4,3.751513719558716
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.751513719558716
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,3.751513719558716
Erling Haaland,Man City,FWD,14.1,179,6.6,3.751513719558716
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,3.751513719558716
