name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.939840078353882
William Saliba,Arsenal,DEF,5.9,147,4.2,3.939840078353882
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.939840078353882
Nathan Aké,Man City,DEF,5.0,95,3.7,3.939840078353882
Joško Gvardiol,Man City,DEF,5.0,88,3.7,3.939840078353882
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.939840078353882
Phil Foden,Man City,MID,8.4,199,6.4,3.939840078353882
Son Heung-min,Spurs,MID,9.9,195,6.3,3.939840078353882
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,3.939840078353882
Alexander Isak,Newcastle,FWD,8.3,147,5.7,3.939840078353882
Nicolas Jackson,Chelsea,FWD,6.9,117,3.8,3.939840078353882
