name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,4.01613187789917
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,4.01613187789917
William Saliba,Arsenal,DEF,5.9,147,4.2,4.01613187789917
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,4.01613187789917
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,4.01613187789917
Bukayo Saka,Arsenal,MID,9.0,214,6.5,4.01613187789917
Son Heung-min,Spurs,MID,9.9,195,6.3,4.01613187789917
Kevin De Bruyne,Man City,MID,10.5,82,5.9,4.01613187789917
Michael Olise,Crystal Palace,MID,5.6,91,5.7,4.01613187789917
Alexander Isak,Newcastle,FWD,8.3,147,5.7,4.01613187789917
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,4.01613187789917
