name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.6244983673095703
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.6244983673095703
Manuel Akanji,Man City,DEF,5.0,96,3.7,3.6244983673095703
Joško Gvardiol,Man City,DEF,5.0,88,3.7,3.6244983673095703
Pedro Porro,Spurs,DEF,5.8,112,3.6,3.6244983673095703
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.6244983673095703
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.6244983673095703
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.6244983673095703
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,3.6244983673095703
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,3.6244983673095703
Julián Álvarez,Man City,FWD,6.4,147,4.5,3.6244983673095703
