name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.972348690032959
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.972348690032959
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,3.972348690032959
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,3.972348690032959
Nathan Aké,Man City,DEF,5.0,95,3.7,3.972348690032959
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.972348690032959
Son Heung-min,Spurs,MID,9.9,195,6.3,3.972348690032959
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.972348690032959
Anthony Gordon,Newcastle,MID,6.3,169,5.3,3.972348690032959
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,3.972348690032959
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,130,4.1,3.972348690032959
