name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,4.585758924484253
William Saliba,Arsenal,DEF,5.9,147,4.2,4.585758924484253
Pedro Porro,Spurs,DEF,5.8,112,3.6,4.585758924484253
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,4.585758924484253
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,4.585758924484253
Mohamed Salah,Liverpool,MID,13.5,190,6.6,4.585758924484253
Son Heung-min,Spurs,MID,9.9,195,6.3,4.585758924484253
Kai Havertz,Arsenal,MID,7.5,163,4.8,4.585758924484253
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,4.585758924484253
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,4.585758924484253
Alexander Isak,Newcastle,FWD,8.3,147,5.7,4.585758924484253
