name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,3.7772655487060547
Benjamin White,Arsenal,DEF,6.1,168,4.9,3.7772655487060547
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.7772655487060547
Nathan Aké,Man City,DEF,5.0,95,3.7,3.7772655487060547
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.7772655487060547
Mohamed Salah,Liverpool,MID,13.5,190,6.6,3.7772655487060547
Michael Olise,Crystal Palace,MID,5.6,91,5.7,3.7772655487060547
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,3.7772655487060547
Kai Havertz,Arsenal,MID,7.5,163,4.8,3.7772655487060547
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,3.7772655487060547
David Datro Fofana,Burnley,FWD,5.0,48,3.7,3.7772655487060547
