name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,3.4296109676361084
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,3.4296109676361084
William Saliba,Arsenal,DEF,5.9,147,4.2,3.4296109676361084
Manuel Akanji,Man City,DEF,5.0,96,3.7,3.4296109676361084
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,3.4296109676361084
Cole Palmer,Chelsea,MID,6.2,215,7.2,3.4296109676361084
Son Heung-min,Spurs,MID,9.9,195,6.3,3.4296109676361084
Kevin De Bruyne,Man City,MID,10.5,82,5.9,3.4296109676361084
Jarrod Bowen,West Ham,MID,7.6,178,5.6,3.4296109676361084
David Datro Fofana,Burnley,FWD,5.0,48,3.7,3.4296109676361084
Rasmus Højlund,Man Utd,FWD,7.1,95,3.7,3.4296109676361084
