name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.3382582664489746
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3382582664489746
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.3382582664489746
Nathan Aké,Man City,DEF,5.0,95,3.7,0.3382582664489746
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.3382582664489746
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.3382582664489746
Son Heung-min,Spurs,MID,9.9,195,6.3,0.3382582664489746
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.3382582664489746
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.3382582664489746
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.3382582664489746
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.3382582664489746
