name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,0.3421132564544678
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3421132564544678
William Saliba,Arsenal,DEF,5.9,147,4.2,0.3421132564544678
Manuel Akanji,Man City,DEF,5.0,96,3.7,0.3421132564544678
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.3421132564544678
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.3421132564544678
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.3421132564544678
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.3421132564544678
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3421132564544678
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,0.3421132564544678
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.3421132564544678
