name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.3397860527038574
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3397860527038574
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3397860527038574
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.3397860527038574
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.3397860527038574
Phil Foden,Man City,MID,8.4,199,6.4,0.3397860527038574
Son Heung-min,Spurs,MID,9.9,195,6.3,0.3397860527038574
Kevin De Bruyne,Man City,MID,10.5,82,5.9,0.3397860527038574
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.3397860527038574
Alexander Isak,Newcastle,FWD,8.3,147,5.7,0.3397860527038574
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.3397860527038574
