name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.340317964553833
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.340317964553833
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.340317964553833
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.340317964553833
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,0.340317964553833
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.340317964553833
Phil Foden,Man City,MID,8.4,199,6.4,0.340317964553833
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.340317964553833
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,0.340317964553833
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,130,4.1,0.340317964553833
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.340317964553833
