name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.34457850456237793
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.34457850456237793
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34457850456237793
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.34457850456237793
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,0.34457850456237793
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34457850456237793
Phil Foden,Man City,MID,8.4,199,6.4,0.34457850456237793
Son Heung-min,Spurs,MID,9.9,195,6.3,0.34457850456237793
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34457850456237793
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.34457850456237793
Darwin Núñez Ribeiro,Liverpool,FWD,7.6,129,3.9,0.34457850456237793
