name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,98,3.9,0.3551197052001953
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3551197052001953
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3551197052001953
Nathan Aké,Man City,DEF,5.0,95,3.7,0.3551197052001953
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.3551197052001953
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.3551197052001953
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.3551197052001953
Phil Foden,Man City,MID,8.4,199,6.4,0.3551197052001953
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3551197052001953
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.3551197052001953
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.3551197052001953
