name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,0.34566688537597656
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.34566688537597656
Manuel Akanji,Man City,DEF,5.0,96,3.7,0.34566688537597656
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.34566688537597656
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.34566688537597656
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.34566688537597656
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.34566688537597656
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34566688537597656
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.34566688537597656
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.34566688537597656
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.34566688537597656
