name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.34743618965148926
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34743618965148926
Nathan Aké,Man City,DEF,5.0,95,3.7,0.34743618965148926
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.34743618965148926
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,0.34743618965148926
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34743618965148926
Phil Foden,Man City,MID,8.4,199,6.4,0.34743618965148926
Son Heung-min,Spurs,MID,9.9,195,6.3,0.34743618965148926
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34743618965148926
Alexander Isak,Newcastle,FWD,8.3,147,5.7,0.34743618965148926
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,130,4.1,0.34743618965148926
