name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.34119176864624023
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34119176864624023
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.34119176864624023
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.34119176864624023
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.34119176864624023
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.34119176864624023
Kevin De Bruyne,Man City,MID,10.5,82,5.9,0.34119176864624023
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34119176864624023
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.34119176864624023
Alexander Isak,Newcastle,FWD,8.3,147,5.7,0.34119176864624023
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.34119176864624023
