name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,0.34155869483947754
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.34155869483947754
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.34155869483947754
Manuel Akanji,Man City,DEF,5.0,96,3.7,0.34155869483947754
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.34155869483947754
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.34155869483947754
Son Heung-min,Spurs,MID,9.9,195,6.3,0.34155869483947754
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.34155869483947754
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.34155869483947754
Erling Haaland,Man City,FWD,14.1,179,6.6,0.34155869483947754
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.34155869483947754
