name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.344696044921875
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.344696044921875
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.344696044921875
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.344696044921875
Kyle Walker,Man City,DEF,5.4,106,3.8,0.344696044921875
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.344696044921875
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.344696044921875
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.344696044921875
Bryan Mbeumo,Brentford,MID,6.8,110,5.0,0.344696044921875
Erling Haaland,Man City,FWD,14.1,179,6.6,0.344696044921875
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.344696044921875
