name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,107,3.8,0.3415236473083496
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.3415236473083496
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.3415236473083496
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.3415236473083496
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.3415236473083496
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.3415236473083496
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.3415236473083496
Kevin De Bruyne,Man City,MID,10.5,82,5.9,0.3415236473083496
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3415236473083496
Erling Haaland,Man City,FWD,14.1,179,6.6,0.3415236473083496
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.3415236473083496
