name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.3408796787261963
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3408796787261963
William Saliba,Arsenal,DEF,5.9,147,4.2,0.3408796787261963
Marcos Senesi,Bournemouth,DEF,4.4,97,3.5,0.3408796787261963
John Stones,Man City,DEF,5.3,52,3.5,0.3408796787261963
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.3408796787261963
Son Heung-min,Spurs,MID,9.9,195,6.3,0.3408796787261963
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.3408796787261963
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,0.3408796787261963
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,126,4.3,0.3408796787261963
Nicolas Jackson,Chelsea,FWD,6.9,117,3.8,0.3408796787261963
