name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.34494853019714355
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.34494853019714355
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34494853019714355
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.34494853019714355
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.34494853019714355
Son Heung-min,Spurs,MID,9.9,195,6.3,0.34494853019714355
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.34494853019714355
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.34494853019714355
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,0.34494853019714355
Erling Haaland,Man City,FWD,14.1,179,6.6,0.34494853019714355
Chris Wood,Nott'm Forest,FWD,4.8,114,4.1,0.34494853019714355
