name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.3385939598083496
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3385939598083496
Gabriel dos Santos Magalhães,Arsenal,DEF,5.4,134,4.1,0.3385939598083496
Kyle Walker,Man City,DEF,5.4,106,3.8,0.3385939598083496
Nathan Aké,Man City,DEF,5.0,95,3.7,0.3385939598083496
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.3385939598083496
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.3385939598083496
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3385939598083496
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.3385939598083496
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,0.3385939598083496
Darwin Núñez Ribeiro,Liverpool,FWD,7.6,129,3.9,0.3385939598083496
