name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.34981250762939453
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.34981250762939453
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.34981250762939453
Kyle Walker,Man City,DEF,5.4,106,3.8,0.34981250762939453
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.34981250762939453
Bukayo Saka,Arsenal,MID,9.0,214,6.5,0.34981250762939453
Son Heung-min,Spurs,MID,9.9,195,6.3,0.34981250762939453
Kevin De Bruyne,Man City,MID,10.5,82,5.9,0.34981250762939453
Ben Brereton,Sheffield Utd,MID,5.0,50,4.5,0.34981250762939453
Ollie Watkins,Aston Villa,FWD,9.0,219,6.4,0.34981250762939453
Carlton Morris,Luton,FWD,4.8,138,3.9,0.34981250762939453
