name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.3532586097717285
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3532586097717285
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3532586097717285
William Saliba,Arsenal,DEF,5.9,147,4.2,0.3532586097717285
Joško Gvardiol,Man City,DEF,5.0,88,3.7,0.3532586097717285
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.3532586097717285
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3532586097717285
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,0.3532586097717285
Douglas Luiz Soares de Paulo,Aston Villa,MID,5.4,143,4.5,0.3532586097717285
Julián Álvarez,Man City,FWD,6.4,147,4.5,0.3532586097717285
Rodrigo Muniz Carvalho,Fulham,FWD,4.5,92,4.0,0.3532586097717285
