name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,122,4.2,0.33888816833496094
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.33888816833496094
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.33888816833496094
Jarrad Branthwaite,Everton,DEF,4.4,112,3.5,0.33888816833496094
Jakub Kiwior,Arsenal,DEF,4.2,66,3.5,0.33888816833496094
Cole Palmer,Chelsea,MID,6.2,215,7.2,0.33888816833496094
Mohamed Salah,Liverpool,MID,13.5,190,6.6,0.33888816833496094
Kevin De Bruyne,Man City,MID,10.5,82,5.9,0.33888816833496094
Ben Brereton,Sheffield Utd,MID,5.0,50,4.5,0.33888816833496094
Dominic Solanke,Bournemouth,FWD,7.2,166,4.7,0.33888816833496094
Julián Álvarez,Man City,FWD,6.4,147,4.5,0.33888816833496094
