name,team,position,value,total_points,points_per_game,elapsed
David Raya Martin,Arsenal,GK,5.2,121,4.3,0.3065953254699707
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.3065953254699707
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.3065953254699707
John Stones,Man City,DEF,5.3,52,3.5,0.3065953254699707
Rico Lewis,Man City,DEF,4.2,51,3.4,0.3065953254699707
Phil Foden,Man City,MID,8.3,199,6.4,0.3065953254699707
Bukayo Saka,Arsenal,MID,9.0,202,6.3,0.3065953254699707
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.3065953254699707
Bruno Borges Fernandes,Man Utd,MID,8.4,157,4.9,0.3065953254699707
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.3065953254699707
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.3065953254699707
