name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.7,131,3.9,0.30871105194091797
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.30871105194091797
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.30871105194091797
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.30871105194091797
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.30871105194091797
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.30871105194091797
Phil Foden,Man City,MID,8.3,199,6.4,0.30871105194091797
Bukayo Saka,Arsenal,MID,9.0,202,6.3,0.30871105194091797
Michael Olise,Crystal Palace,MID,5.6,89,5.9,0.30871105194091797
Dominic Solanke,Bournemouth,FWD,7.3,164,4.8,0.30871105194091797
Chris Wood,Nott'm Forest,FWD,4.8,112,4.1,0.30871105194091797
