name,team,position,value,total_points,points_per_game,elapsed
Alphonse Areola,West Ham,GK,4.2,106,3.9,0.3060636520385742
Benjamin White,Arsenal,DEF,6.0,167,5.1,0.3060636520385742
Fabian Schär,Newcastle,DEF,5.7,121,3.7,0.3060636520385742
Jakub Kiwior,Arsenal,DEF,4.3,65,3.6,0.3060636520385742
Manuel Akanji,Man City,DEF,5.0,88,3.5,0.3060636520385742
Cole Palmer,Chelsea,MID,6.2,207,7.4,0.3060636520385742
Mohamed Salah,Liverpool,MID,13.6,189,6.8,0.3060636520385742
Son Heung-min,Spurs,MID,9.9,186,6.4,0.3060636520385742
Phil Foden,Man City,MID,8.3,199,6.4,0.3060636520385742
David Datro Fofana,Burnley,FWD,5.0,47,3.9,0.3060636520385742
Yoane Wissa,Brentford,FWD,5.7,108,3.6,0.3060636520385742
